title,description,category,thumbnail Image,locationType,location,eventDate - Start,eventDate - end,registrationLink,tags,Workgroup
2nd Annual Responsible AI Governance — Exclusive Investor & CEO Dinner,"The 2nd Annual Responsible AI Governance – Exclusive Investor & CEO Dinner is a closed, invitation-only gathering at Davos convened by The Digital Economist for senior investors and chief executives responsible for AI strategy and risk. Hosted by Navroop Sahdev, Founder and CEO of The Digital Economist, the dinner provides a discreet setting for peer-level dialogue on the governance foundations required for trusted, large-scale AI deployment, with discussion focused on how governance design, accountability, and risk management are shaping investment decisions, institutional adoption, and long-term enterprise value.
",davos,D:\ProjectsInternship\TDE\server\seedData\TeeshaDembla-uploader\2-annual-responsible-ai-governance-exclusive-investor-ceo-dinner-01-26.jpg,On-site,"Library Lounge, Hotel Edelweiss Rossweidstrasse 9, 7270 Davos, Switzerland",Thu Jan 22 2026 00:00:00 GMT+0000 (Coordinated Universal Time),,,,applied-artificial-intelligence; digital-assets-and-blockchain; healthcare-innovation; Sustainability in Tech; tech-policy-and-governance
AI and the Digital Silk Road,"China is no longer just catching up—it’s setting the pace. With AI breakthroughs from companies like Deepseek demonstrating not just technical capability but dramatically lower cost structures than Silicon Valley, the global innovation map is being redrawn. This upcoming roundtable, hosted by our Policy Group, reflects The Digital Economist’s commitment to delivering region-specific intelligence and elevating interdisciplinary insights that matter. Experts from the fields of AI and China studies will lead a timely, forward-looking discussion on: - China’s evolving innovation strategy and what it means for global power shifts
- The cultural and political roots of China’s AI trajectory
- The economic implications for emerging markets and global supply chains
- How AI is shaping not just competition—but new global norms",roundtable,D:\ProjectsInternship\TDE\server\seedData\TeeshaDembla-uploader\ai-and-the-digital-silk-road-04-25.png,Virtual,,Thu May 22 2025 00:00:00 GMT+0000 (Coordinated Universal Time),,,,tech-policy-and-governance
Algorithmic Healing,"AI is transforming healthcare, but can it also heal the fractures in our systems and reconnect care to its community-based roots? This interactive roundtable invites global voices to explore Algorithmic Healing: a vision where artificial intelligence bridges ancient healing wisdom, modern medicine, and inclusive policy frameworks. Together, we’ll examine how technology can amplify holistic, culturally sensitive approaches—and the risks of reinforcing inequities or eroding local autonomy. Attendees are encouraged to join the conversation, challenge assumptions, and co-create insights for more human-centered health systems.",roundtable,D:\ProjectsInternship\TDE\server\seedData\TeeshaDembla-uploader\algorithmic-healing-07-25.jpg,Virtual,,Thu Jul 31 2025 00:00:00 GMT+0000 (Coordinated Universal Time),,,,healthcare-innovation
"Beauty, Banking & Bots ","While global headlines fixate on Big Tech, Latin America is quietly leading an AI transformation of its own—bold, grounded, and unexpectedly human. From personalized beauty products to intelligent banking systems, the region is blending data and design in ways that challenge convention. This roundtable, hosted by The Digital Economist, offers a rare inside look at what Applied AI actually looks like in action.",roundtable,"D:\ProjectsInternship\TDE\server\seedData\TeeshaDembla-uploader\beauty,banking&bots-07-25.jpg",Virtual,,Thu Jul 17 2025 00:00:00 GMT+0000 (Coordinated Universal Time),,https://thedigitaleconomist.typeform.com/AILatinAmerica,,applied-artificial-intelligence
Carbon Meets Code,"AI powers progress, but it also consumes vast energy. As data centers expand and models grow larger, the carbon cost of intelligence rises. This roundtable explores how AI can align with sustainability through green data, efficient models, and renewable innovation. Can technology that reshapes the world also help preserve it?",roundtable,D:\ProjectsInternship\TDE\server\seedData\TeeshaDembla-uploader\carbon-meets-code-11-25.jpg,Virtual,,Thu Nov 13 2025 00:00:00 GMT+0000 (Coordinated Universal Time),,,,applied-artificial-intelligence
Davos 2026,"The Annual Meetings in Davos, Switzerland, are some of the most prominent gatherings of global leaders, held each January in the picturesque Swiss Alps. Known for its exclusivity and high-profile nature, Davos brings together CEOs, Heads of States, government officials, and influential voices from civil society, academia, and media. The purpose of these meetings is to address the world's most urgent issues, from economic inequality and climate change to global security and technological advances.",davos,D:\ProjectsInternship\TDE\server\seedData\TeeshaDembla-uploader\davos2026-01-26.webp,On-site,"Library Lounge, Hotel Edelweiss Rossweidstrasse 9, 7270 Davos, Switzerland",Mon Jan 19 2026 00:00:00 GMT+0000 (Coordinated Universal Time),Fri Jan 23 2026 00:00:00 GMT+0000 (Coordinated Universal Time),,,applied-artificial-intelligence; digital-assets-and-blockchain; healthcare-innovation; Sustainability in Tech; tech-policy-and-governance
Davos 2027,"Davos brings together heads of state, business leaders, investors, and policymakers to assess global economic conditions, technology deployment, energy systems, and geopolitical risk. In 2027, The Digital Economist will mark its seventh year convening its global community alongside this gathering. Building on the foundation established since 2020, the program will bring Executive Fellows, partners, and cross-sector leaders together to translate dialogue into institutional design—focusing on governance frameworks, infrastructure models, and capital strategies shaping the year ahead. As agendas crystallize and partnerships form, the convening will provide space for disciplined exchange and coordinated action across finance, digital infrastructure, sustainability, and public policy. We look forward to hosting our community in Davos for our seventh year.",davos,D:\ProjectsInternship\TDE\server\seedData\TeeshaDembla-uploader\davos-2027.jpg,On-site,"Davos, Switzerland",Fri Jan 01 2027 00:00:00 GMT+0000 (Coordinated Universal Time),,,,applied-artificial-intelligence; digital-assets-and-blockchain; healthcare-innovation; Sustainability in Tech; tech-policy-and-governance; cyber-studio; quantum-computing
Designing Circular Futures,"Can We Regenerate the Future? Exploring Systems-Level Transition, Climate & Innovation in the Circular Economy Frontier The future is not linear and neither is the economy that can sustain it. In this timely and transformational webinar, we convene visionary thought leaders to explore how circular economy frameworks can reshape our industries, ecosystems, and societies. From deep-sea innovation to indigenous climate knowledge, from textile, Web3 fashion to ESG reform, this panel will push the boundaries of sustainability thinking and circular economy.",roundtable,D:\ProjectsInternship\TDE\server\seedData\TeeshaDembla-uploader\designing-cirular-futures-08-25.jpg,Virtual,,Tue Aug 26 2025 00:00:00 GMT+0000 (Coordinated Universal Time),,,,Sustainability in Tech
Escaping the Web3 Matrix,"Blockchain promised a decentralized revolution, yet mainstream adoption remains elusive. Why? Projects grapple with a complex matrix of challenges:
User Experience Nightmares: Cumbersome key management, clunky interfaces, and irreversible errors alienate non-tech users.
Scalability vs. Decentralization Trade-offs: Networks strain under demand (high fees, slow speeds), forcing compromises on core ideals.
Regulatory Fog: Unclear rules stifle innovation, deter institutions, and leave users vulnerable in gray markets.
Security Theater: Hacks, scams, and bridge exploits erode trust—ironically, in a tech built for trustlessness.
Speculation Over Substance: Hype cycles prioritize quick profits over sustainable utility, diverting focus from real-world use cases.
Self-Custody Pitfalls: ""Not your keys, not your crypto"" remains a double-edged sword; losing keys means losing everything, discouraging cautious adopters.
The result? A labyrinth where idealism clashes with practicality. This roundtable confronts the hard truths: Can we escape this matrix—prioritizing ownership, usability, and real value—or are we trapped in a cycle of unfulfilled potential? Let’s decode the exit strategy.",roundtable,D:\ProjectsInternship\TDE\server\seedData\TeeshaDembla-uploader\escaping-the-web3-matrix-07-25.jpg,Virtual,,Thu Jul 10 2025 00:00:00 GMT+0000 (Coordinated Universal Time),,,,digital-assets-and-blockchain
Governance-First Leadership,"In an era of constant disruption, driven by AI acceleration, climate risk, geopolitical shifts, and financial volatility, leaders must evolve. Governance is no longer just about compliance; it’s about leadership. Governance-first leadership emphasizes ethical decision-making, long-term accountability, and inclusive systems design at every level of the enterprise. This virtual roundtable will convene experts across corporate boards, government, startups, and global institutions to explore how governance can be a strategic leadership tool, not a constraint. We’ll examine how organizations are building real-time decision systems, scaling ethical oversight, and rethinking boardroom responsibilities in an intelligent, decentralized world. Whether you're a CEO, policy leader, technologist, risk officer, or board director, this conversation is designed to help you lead through disruption with clarity and purpose. Join us to learn how governance-first leadership can strengthen resilience, build trust, and unlock sustainable innovation.",roundtable,D:\ProjectsInternship\TDE\server\seedData\TeeshaDembla-uploader\governance-first-leadership-08-25.jpg,Virtual,,Thu Aug 14 2025 00:00:00 GMT+0000 (Coordinated Universal Time),,,,tech-policy-and-governance
